Cell_line_id,data_split,pearson_r,kernel_type,data_type,data_origin
BSS01884,valid,0.5780204668460593,Linear,promoters,/stg3/data1/sam/enhancer_prediction/fimo_scan/motif_count_matrices_pro_3
BSS01887,valid,0.5255103328613242,Linear,promoters,/stg3/data1/sam/enhancer_prediction/fimo_scan/motif_count_matrices_pro_3
ALL_LINES,valid,0.5854624001649826,Linear,promoters,/stg3/data1/sam/enhancer_prediction/fimo_scan/motif_count_matrices_pro_3
BSS00004,train,0.8877601432436417,Poly,promoters,/stg3/data1/sam/enhancer_prediction/fimo_scan/motif_count_matrices_pro_3
BSS00007,train,0.8489583214283325,Poly,promoters,/stg3/data1/sam/enhancer_prediction/fimo_scan/motif_count_matrices_pro_3
BSS00043,train,0.6734884218320183,Poly,promoters,/stg3/data1/sam/enhancer_prediction/fimo_scan/motif_count_matrices_pro_3
BSS00045,train,0.8455860730868625,Poly,promoters,/stg3/data1/sam/enhancer_prediction/fimo_scan/motif_count_matrices_pro_3
BSS00062,train,0.8247383196758774,Poly,promoters,/stg3/data1/sam/enhancer_prediction/fimo_scan/motif_count_matrices_pro_3
BSS00074,train,0.823574856378932,Poly,promoters,/stg3/data1/sam/enhancer_prediction/fimo_scan/motif_count_matrices_pro_3
BSS00079,train,0.681650009807373,Poly,promoters,/stg3/data1/sam/enhancer_prediction/fimo_scan/motif_count_matrices_pro_3
BSS00088,train,0.7723563650912804,Poly,promoters,/stg3/data1/sam/enhancer_prediction/fimo_scan/motif_count_matrices_pro_3
BSS00089,train,0.8778860917580791,Poly,promoters,/stg3/data1/sam/enhancer_prediction/fimo_scan/motif_count_matrices_pro_3
BSS00096,train,0.7864621979531135,Poly,promoters,/stg3/data1/sam/enhancer_prediction/fimo_scan/motif_count_matrices_pro_3
BSS00102,train,0.8309079338735865,Poly,promoters,/stg3/data1/sam/enhancer_prediction/fimo_scan/motif_count_matrices_pro_3
BSS00112,train,0.8228087871465386,Poly,promoters,/stg3/data1/sam/enhancer_prediction/fimo_scan/motif_count_matrices_pro_3
BSS00113,train,0.903396816034179,Poly,promoters,/stg3/data1/sam/enhancer_prediction/fimo_scan/motif_count_matrices_pro_3
BSS00121,train,0.7693516440495818,Poly,promoters,/stg3/data1/sam/enhancer_prediction/fimo_scan/motif_count_matrices_pro_3
BSS00145,train,0.8462594947772933,Poly,promoters,/stg3/data1/sam/enhancer_prediction/fimo_scan/motif_count_matrices_pro_3
BSS00160,train,0.8600715169477213,Poly,promoters,/stg3/data1/sam/enhancer_prediction/fimo_scan/motif_count_matrices_pro_3
BSS00171,train,0.7965083114115266,Poly,promoters,/stg3/data1/sam/enhancer_prediction/fimo_scan/motif_count_matrices_pro_3
BSS00178,train,0.7980362785984862,Poly,promoters,/stg3/data1/sam/enhancer_prediction/fimo_scan/motif_count_matrices_pro_3
BSS00189,train,0.8206685805591617,Poly,promoters,/stg3/data1/sam/enhancer_prediction/fimo_scan/motif_count_matrices_pro_3
BSS00197,train,0.8395385241530888,Poly,promoters,/stg3/data1/sam/enhancer_prediction/fimo_scan/motif_count_matrices_pro_3
BSS00211,train,0.7129818185882696,Poly,promoters,/stg3/data1/sam/enhancer_prediction/fimo_scan/motif_count_matrices_pro_3
BSS00214,train,0.719357560605024,Poly,promoters,/stg3/data1/sam/enhancer_prediction/fimo_scan/motif_count_matrices_pro_3
BSS00232,train,0.8157168500812368,Poly,promoters,/stg3/data1/sam/enhancer_prediction/fimo_scan/motif_count_matrices_pro_3
BSS00246,train,0.8792241324636366,Poly,promoters,/stg3/data1/sam/enhancer_prediction/fimo_scan/motif_count_matrices_pro_3
BSS00281,train,0.8008634453968482,Poly,promoters,/stg3/data1/sam/enhancer_prediction/fimo_scan/motif_count_matrices_pro_3
BSS00287,train,0.8059001740231231,Poly,promoters,/stg3/data1/sam/enhancer_prediction/fimo_scan/motif_count_matrices_pro_3
BSS00296,train,0.8401285839566943,Poly,promoters,/stg3/data1/sam/enhancer_prediction/fimo_scan/motif_count_matrices_pro_3
BSS00310,train,0.9016491431704647,Poly,promoters,/stg3/data1/sam/enhancer_prediction/fimo_scan/motif_count_matrices_pro_3
BSS00316,train,0.8033327038611288,Poly,promoters,/stg3/data1/sam/enhancer_prediction/fimo_scan/motif_count_matrices_pro_3
BSS00332,train,0.7892513659962932,Poly,promoters,/stg3/data1/sam/enhancer_prediction/fimo_scan/motif_count_matrices_pro_3
BSS00352,train,0.8264719862466442,Poly,promoters,/stg3/data1/sam/enhancer_prediction/fimo_scan/motif_count_matrices_pro_3
BSS00353,train,0.8938602683362459,Poly,promoters,/stg3/data1/sam/enhancer_prediction/fimo_scan/motif_count_matrices_pro_3
BSS00372,train,0.8286001919670023,Poly,promoters,/stg3/data1/sam/enhancer_prediction/fimo_scan/motif_count_matrices_pro_3
BSS00376,train,0.7863393377903848,Poly,promoters,/stg3/data1/sam/enhancer_prediction/fimo_scan/motif_count_matrices_pro_3
BSS00381,train,0.8419086627748005,Poly,promoters,/stg3/data1/sam/enhancer_prediction/fimo_scan/motif_count_matrices_pro_3
BSS00385,train,0.8009501121329224,Poly,promoters,/stg3/data1/sam/enhancer_prediction/fimo_scan/motif_count_matrices_pro_3
BSS00439,train,0.8207440858128487,Poly,promoters,/stg3/data1/sam/enhancer_prediction/fimo_scan/motif_count_matrices_pro_3
BSS00476,train,0.8744680311204146,Poly,promoters,/stg3/data1/sam/enhancer_prediction/fimo_scan/motif_count_matrices_pro_3
BSS00478,train,0.8059847523487742,Poly,promoters,/stg3/data1/sam/enhancer_prediction/fimo_scan/motif_count_matrices_pro_3
BSS00481,train,0.8820154208848779,Poly,promoters,/stg3/data1/sam/enhancer_prediction/fimo_scan/motif_count_matrices_pro_3
ALL_LINES,train,0.8125311047585828,Poly,promoters,/stg3/data1/sam/enhancer_prediction/fimo_scan/motif_count_matrices_pro_3
BSS00483,valid,0.8244636352976276,Poly,promoters,/stg3/data1/sam/enhancer_prediction/fimo_scan/motif_count_matrices_pro_3
BSS00505,valid,0.8309714118390463,Poly,promoters,/stg3/data1/sam/enhancer_prediction/fimo_scan/motif_count_matrices_pro_3
BSS00529,valid,0.8455370435630408,Poly,promoters,/stg3/data1/sam/enhancer_prediction/fimo_scan/motif_count_matrices_pro_3
BSS00543,valid,0.8123509074314024,Poly,promoters,/stg3/data1/sam/enhancer_prediction/fimo_scan/motif_count_matrices_pro_3
BSS00556,valid,0.7799253783061022,Poly,promoters,/stg3/data1/sam/enhancer_prediction/fimo_scan/motif_count_matrices_pro_3
BSS00558,valid,0.7845095801425114,Poly,promoters,/stg3/data1/sam/enhancer_prediction/fimo_scan/motif_count_matrices_pro_3
